2.632 6.305
. 9.415
4.887 .
. 8.34
5.075 7.423
4.9 7.704
4.088 .
4.717 8.946
4.061 .
4.246 6.339
5.335 7.824
4.362 .
3.434 9.195
5.099 7.724
5.528 8.551
5.436 9.925
4.982 .
3.931 .
. 7.236
5.889 8.9
5.442 9.625
5.722 8.041
6.025 .
. 7.395
5.681 8.586
5.369 8.01
6.252 .
. 9.995
4.914 6.816
4.644 7.73
6.289 8.928
3.272 .
5.12 8
4.202 7.078
4.394 .
4.663 8.674
4.69 8.08
. 9.118
5.138 .
4.918 6.507
. 5.86
4.277 7.249
. 8.66
4.184 .
6.07 9.036
2.903 7.904
. 8.823
. 7.242
6.485 8.097
4.405 5.747
3.245 .
3.872 6.548
. 6.445
5.38 .
4.205 .
. 7.096
6.555 .
. 7.267
6.198 6.908
5.556 .
5.086 .
6.583 .
6.109 7.529
5.667 8.215
. 8.632
6.126 8.476
6.286 8.701
. 7.782
3.123 .
. 7.978
. 8.413
. 8.615
5.927 .
3.902 7.83
4.575 .
5.794 8.817
4.822 8.116
6.008 8.952
5.268 7.924
6.226 8.008
5.801 7.89
. 8.664
2.857 5.299
7.518 9.521
6.756 9.738
. 7.055
. 7.43
5.249 7.85
4.851 .
. 6.224
. 6.851
5.841 8.558
6.639 .
4.002 6.635
. 9.473
4.186 7.275
5.573 9.792
. 8.509
4.586 .
6.094 9.332
3.647 .
. 7.81
. 8.29
. 7.386
5.875 8.948
5.311 7.602
5.312 .
. 7.779
5.644 .
5.403 8.754
4.745 7.542
3.925 7.585
. 7.327
4.15 .
5.836 8.036
. 7.773
6.352 8.944
5.351 7.713
5.086 7.457
5.906 .
5.347 8.634
4.76 .
5.181 .
8.174 .
. 9.35
3.855 7.683
. 8.119
. 8.964
5.573 7.201
4.267 8.564
4.648 8.848
4.614 .
. 7.604
. 8.914
4.026 6.911
4.575 8.665
. 9.747
3.49 .
4.457 8.444
. 8.503
5.011 .
4.354 8.176
6.175 7.387
4.18 .
5.073 .
. 8.819
5.382 7.426
. 7.637
. 7.438
5.476 8.994
4.474 7.083
5.702 .
3.667 6.978
. 9.467
4.167 6.953
4.006 8.123
2.075 .
4.113 8.108
4.919 9.53
4.106 .
3.388 5.808
4.032 7.957
5.545 9.077
4.072 9.453
. 7.894
4.1 8.7
. 6.792
6.828 9.623
4.381 6.009
6.119 .
5.042 8.108
4.64 5.955
. 7.328
. 9.754
